['CWBC', 10.210000000000001]
['CVLT', 56.200000000000003]
['CGEN', 3.6000000000000001]
['CPSI', 29.84]
['CTG', 5.4199999999999999]
['CHCI', 1.8500000000000001]
['CMTL', 18.25]
['CNAT', 5.4400000000000004]
['CNCE', 16.41]
['CXRX', 1.1799999999999999]
['CCUR', 5.8300000000000001]
['CDOR', 10.23]
['CFMS', 4.0700000000000003]
['CNFR', 6.8300000000000001]
['CNMD', 49.719999999999999]
['CTWS', 56.630000000000003]
['CNOB', 23.780000000000001]
['CONN', 21.52]
['CNSL', 18.649999999999999]
['CWCO', 12.18]
['CNAC', nan]
['CNACR', None]
['CNACU', None]
['CNACW', None]
['CPSS', 4.4100000000000001]
['CFRX', 1.28]
['CTRV', 0.70999999999999996]
['CTRL', 23.809999999999999]
['CPRT', 33.579999999999998]
['CRBP', 6.8799999999999999]
['CORT', 14.32]
['CORE', 32.219999999999999]
['CORI', 8.1699999999999999]
['CSOD', 37.399999999999999]
['CRVL', 50.039999999999999]
['CRVS', 12.99]
['CSGP', 266.79000000000002]
['COST', 165.13]
['CPAH', 2.3900000000000001]
['ICBK', 28.0]
['COUP', 31.079999999999998]
['CVTI', 22.34]
['COWN', 15.35]
['COWNL', None]
['COWNZ', nan]
['PMTS', 10.050000000000001]
['CPSH', 1.29]
['CRAI', 38.219999999999999]
['CBRL', 154.69999999999999]
['BREW', 17.030000000000001]
['CRAY', 19.57]
['CACC', 254.83000000000001]
['CREE', 27.600000000000001]
['CRESY', 19.620000000000001]
['CRSP', 17.969999999999999]
['CRTO', 45.310000000000002]
['CROX', 8.4900000000000002]
['CCRN', 12.949999999999999]
['CRWS', 6.6200000000000001]
['CYRX', 5.9299999999999997]
['CYRXW', None]
['CSGS', 40.060000000000002]
['CCLP', 5.5199999999999996]
['CSPI', 10.630000000000001]
['CSWI', 40.899999999999999]
['CSX', 51.299999999999997]
['CTIC', 3.4500000000000002]
['CTIB', 4.9299999999999997]
['CTRP', 51.609999999999999]
['CUI', 3.5600000000000001]
['CPIX', 6.9299999999999997]
['CRIS', 1.79]
['CUTR', 31.41]
['CVBF', 22.059999999999999]
['CVV', 11.16]
['CYAN', 4.0300000000000002]
['CYBR', 45.869999999999997]
['CYBE', 18.82]
['CYCC', 3.0099999999999998]
['CYCCP', 6.3300000000000001]
['CBAY', 6.3399999999999999]
['CY', 14.35]
['CYRN', 2.0]
['CONE', 57.560000000000002]
['CYTK', 13.0]
['CTMX', 17.09]
['CYTX', 0.72999999999999998]
['CYTXW', None]
['CTSO', 5.2800000000000002]
['CYTR', 2.9399999999999999]
['DJCO', 217.83000000000001]
['DAKT', 9.5199999999999996]
['DARE', nan]
['DRIO', 2.2999999999999998]
['DRIOW', None]
['DZSI', 6.7300000000000004]
['DSKE', 11.789999999999999]
['DSKEW', None]
['DAIO', 8.7200000000000006]
['DWCH', 9.5399999999999991]
['PLAY', 58.780000000000001]
['DTEA', 5.4100000000000001]
['DFNL', 22.02]
['DUSA', 21.43]
['DWLD', 23.329999999999998]
['DWSN', 4.5999999999999996]
['DBVT', 35.390000000000001]
['DCPH', nan]
['DFRG', 15.460000000000001]
['TACO', 13.210000000000001]
['TACOW', None]
['DMPI', 1.8400000000000001]
['DELT', 1.49]
['DNLI', nan]
['DENN', 12.27]
['XRAY', 61.979999999999997]
['DEPO', 8.8900000000000006]
['DERM', 28.149999999999999]
['DEST', 2.8999999999999999]
['DXLG', 2.1600000000000001]
['DSWL', 2.3599999999999999]
['DTRM', 2.5299999999999998]
['RNDM', nan]
['DXCM', 66.579999999999998]
['DHXM', 4.2699999999999996]
['DHIL', 195.74000000000001]
['FANG', 99.090000000000003]
['DCIX', 1788.54]
['DRNA', 4.5499999999999998]
['DFBG', 1.6399999999999999]
['DFFN', 2.1299999999999999]
['DGII', 10.289999999999999]
['DMRC', 32.799999999999997]
['DRAD', 3.54]
['DGLY', 3.2200000000000002]
['APPS', 1.26]
['DCOM', 20.120000000000001]
['DIOD', 27.309999999999999]
['DISCA', 23.690000000000001]
['DISCB', nan]
['DISCK', 22.75]
['DISH', 57.789999999999999]
['DVCR', nan]
['SAUC', 2.2400000000000002]
['DLHC', 5.7199999999999998]
['BOOM', 15.58]
['DNBF', 33.450000000000003]
['DOGZ', nan]
['DLTR', 82.980000000000004]
['DLPN', nan]
['DLPNW', None]
['DGICA', 16.100000000000001]
['DGICB', 14.640000000000001]
['DMLP', 15.0]
['DORM', 74.280000000000001]
['DOVA', nan]
['LYL', nan]
['DOTA', nan]
['DOTAR', None]
['DOTAU', None]
['DOTAW', None]
['DRYS', 175.34999999999999]
['DSPG', 12.41]
['DLTH', 19.329999999999998]
['DNKN', 55.140000000000001]
['DRRX', 1.3100000000000001]
['DXPE', 31.800000000000001]
['DYSL', 1.27]
['DYNT', 2.6800000000000002]
['DVAX', 13.52]
['ETFC', 40.130000000000003]
['EBMT', 18.91]
['EGBN', 62.009999999999998]
['EGLE', 4.71]
['EFBI', nan]
['EGRX', 67.109999999999999]
['EWBC', 56.5]
['EACQ', nan]
['EACQU', nan]
['EACQW', None]
['EML', 27.420000000000002]
['ESDI', nan]
['ESDIW', None]
['EVGBC', 99.379999999999995]
['EVFTC', nan]
['OKDCC', nan]
['EVSTC', 99.870000000000005]
['EVLMC', 99.780000000000001]
['EBAY', 35.719999999999999]
['EBAYL', 26.449999999999999]
['EBIX', 62.289999999999999]
['ELON', 5.3700000000000001]
['ECHO', 19.920000000000002]
['SATS', 58.100000000000001]
['EEI', 11.369999999999999]
['ESES', 1.3400000000000001]
